0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:32 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:32 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:32 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:13:58 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:16:04 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:18:38 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:18:54 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:44 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:21:07 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1243
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:29:38 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1880
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:29:38 +0900] "GET /client/html/video/1.mp4 HTTP/1.1" 206 517609
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:30:37 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:30:37 +0900] "GET /client/html/video/1.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:31:40 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:31:40 +0900] "GET /client/html/video/1.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:31:40 +0900] "GET /client/html/video/2.mp4 HTTP/1.1" 206 607808
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:31:40 +0900] "GET /client/html/video/3.mp4 HTTP/1.1" 206 607241
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:32:57 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:32:57 +0900] "GET /client/html/video/2.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:32:57 +0900] "GET /client/html/video/3.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:32:57 +0900] "GET /client/html/video/1.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:33:00 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:33:00 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:33:00 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:33:01 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:33:02 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:33:02 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:33:03 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:33:03 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:35:21 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:35:21 +0900] "GET /client/html/video/1.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:35:21 +0900] "GET /client/html/video/2.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:35:21 +0900] "GET /client/html/video/3.mp4 HTTP/1.1" 304 -
